alpha,x_c,Cf_x_upper
0,6e-05,-0.001696
0,0.00026,-0.001923
0,0.00068,-0.00237
0,0.00131,-0.003156
0,0.00214,-0.004289
0,0.00316,-0.005612
0,0.00434,-0.007019
0,0.00568,-0.008433
0,0.00715,-0.009751
0,0.00875,-0.010954
0,0.01046,-0.01202
0,0.01228,-0.012901
0,0.01419,-0.013657
0,0.0162,-0.014294
0,0.01829,-0.014772
0,0.02048,-0.015107
0,0.02274,-0.015369
0,0.02509,-0.015562
0,0.02752,-0.015688
0,0.03002,-0.015738
0,0.03261,-0.015701
0,0.03528,-0.015621
0,0.03803,-0.015503
0,0.04085,-0.015348
0,0.04376,-0.015162
0,0.04675,-0.014948
0,0.04982,-0.014714
0,0.05298,-0.014461
0,0.05622,-0.014184
0,0.05954,-0.013885
0,0.06295,-0.013581
0,0.06645,-0.013275
0,0.07005,-0.012968
0,0.07373,-0.012662
0,0.0775,-0.012362
0,0.08138,-0.012064
0,0.08534,-0.011773
0,0.08941,-0.011492
0,0.09358,-0.01122
0,0.09785,-0.010948
0,0.10223,-0.010684
0,0.10671,-0.010435
0,0.1113,-0.0102
0,0.11601,-0.009985
0,0.12082,-0.009782
0,0.12576,-0.009604
0,0.13081,-0.009431
0,0.13599,-0.00926
0,0.14129,-0.009106
0,0.14671,-0.008969
0,0.15227,-0.008848
0,0.15796,-0.008743
0,0.16378,-0.008636
0,0.16974,-0.008531
0,0.17585,-0.008441
0,0.1821,-0.008368
0,0.18849,-0.008289
0,0.19504,-0.008203
0,0.20174,-0.008131
0,0.2086,-0.008066
0,0.21562,-0.007992
0,0.2228,-0.00792
0,0.23016,-0.007857
0,0.23768,-0.007784
0,0.24539,-0.007714
0,0.25327,-0.007644
0,0.26133,-0.007568
0,0.26959,-0.007498
0,0.27804,-0.007419
0,0.28668,-0.00735
0,0.29553,-0.007247
0,0.30448,-0.007184
0,0.31342,-0.007138
0,0.3223,-0.007069
0,0.33113,-0.007001
0,0.3399,-0.006932
0,0.34862,-0.006866
0,0.35729,-0.006795
0,0.36591,-0.006728
0,0.37447,-0.006661
0,0.38298,-0.00659
0,0.39144,-0.006526
0,0.39985,-0.006461
0,0.40821,-0.006393
0,0.41651,-0.006331
0,0.42477,-0.006271
0,0.43297,-0.006209
0,0.44113,-0.006148
0,0.44923,-0.006092
0,0.45728,-0.006037
0,0.46529,-0.00598
0,0.47325,-0.005925
0,0.48115,-0.005873
0,0.48901,-0.005823
0,0.49682,-0.005774
0,0.50459,-0.005724
0,0.5123,-0.005675
0,0.51997,-0.005629
0,0.52759,-0.005584
0,0.53517,-0.00554
0,0.5427,-0.005497
0,0.55018,-0.005452
0,0.55762,-0.005409
0,0.56501,-0.005368
0,0.57236,-0.005327
0,0.57966,-0.005287
0,0.58692,-0.005248
0,0.59413,-0.005209
0,0.6013,-0.00517
0,0.60842,-0.005132
0,0.6155,-0.005094
0,0.62254,-0.005057
0,0.62954,-0.005021
0,0.63649,-0.004986
0,0.6434,-0.004951
0,0.65027,-0.004916
0,0.65709,-0.004883
0,0.66388,-0.004849
0,0.67062,-0.004815
0,0.67732,-0.004782
0,0.68398,-0.004749
0,0.69061,-0.004716
0,0.69719,-0.004684
0,0.70373,-0.004653
0,0.71023,-0.004622
0,0.71669,-0.004591
0,0.72311,-0.004561
0,0.72949,-0.004531
0,0.73583,-0.004502
0,0.74214,-0.004473
0,0.7484,-0.004444
0,0.75463,-0.004416
0,0.76082,-0.004388
0,0.76697,-0.004361
0,0.77309,-0.004335
0,0.77916,-0.004309
0,0.7852,-0.004284
0,0.79121,-0.004259
0,0.79717,-0.004235
0,0.8031,-0.004211
0,0.809,-0.004188
0,0.81486,-0.004167
0,0.82068,-0.004146
0,0.82647,-0.004126
0,0.83222,-0.004108
0,0.83793,-0.004089
0,0.84362,-0.004073
0,0.84926,-0.004058
0,0.85488,-0.004044
0,0.86045,-0.004033
0,0.866,-0.004023
0,0.87151,-0.004015
0,0.87699,-0.00401
0,0.88243,-0.004008
0,0.88784,-0.004009
0,0.89322,-0.004013
0,0.89856,-0.004021
0,0.90387,-0.004034
0,0.90915,-0.004051
0,0.9144,-0.004075
0,0.91962,-0.004105
0,0.9248,-0.004143
0,0.92995,-0.00419
0,0.93507,-0.004248
0,0.94016,-0.004319
0,0.94522,-0.004406
0,0.95025,-0.004512
0,0.95524,-0.004643
0,0.96021,-0.004803
0,0.96514,-0.005009
0,0.97005,-0.005258
0,0.97492,-0.005615
0,0.97977,-0.006021
0,0.98458,-0.006799
0,0.98937,-0.007492
0,0.99413,-0.010668
0,0.99825,-0.011787
4,6e-05,-0.001171
4,0.00026,-0.002574
4,0.00068,-0.00433
4,0.00131,-0.006763
4,0.00214,-0.009364
4,0.00316,-0.011811
4,0.00434,-0.014003
4,0.00568,-0.01595
4,0.00715,-0.017539
4,0.00875,-0.018839
4,0.01046,-0.019856
4,0.01228,-0.020502
4,0.01419,-0.020944
4,0.0162,-0.021246
4,0.01829,-0.021348
4,0.02048,-0.021263
4,0.02274,-0.021076
4,0.02509,-0.020813
4,0.02752,-0.020485
4,0.03002,-0.020072
4,0.03261,-0.019575
4,0.03528,-0.019054
4,0.03803,-0.018516
4,0.04085,-0.017964
4,0.04376,-0.017403
4,0.04675,-0.01684
4,0.04982,-0.016284
4,0.05298,-0.015735
4,0.05622,-0.015187
4,0.05954,-0.014631
4,0.06295,-0.01409
4,0.06645,-0.013564
4,0.07005,-0.013064
4,0.07373,-0.012595
4,0.0775,-0.012155
4,0.08138,-0.011747
4,0.08534,-0.011371
4,0.08941,-0.011033
4,0.09358,-0.010728
4,0.09785,-0.010438
4,0.10223,-0.010177
4,0.10671,-0.009952
4,0.1113,-0.009757
4,0.11601,-0.009592
4,0.12082,-0.009448
4,0.12576,-0.009337
4,0.13081,-0.009231
4,0.13599,-0.009124
4,0.14129,-0.009033
4,0.14671,-0.008953
4,0.15227,-0.008882
4,0.15796,-0.008818
4,0.16378,-0.008743
4,0.16974,-0.008663
4,0.17585,-0.00859
4,0.1821,-0.008528
4,0.18849,-0.008454
4,0.19504,-0.00837
4,0.20174,-0.008294
4,0.2086,-0.008221
4,0.21562,-0.008134
4,0.2228,-0.008046
4,0.23016,-0.007962
4,0.23768,-0.007867
4,0.24539,-0.007773
4,0.25327,-0.007678
4,0.26133,-0.007576
4,0.26959,-0.00748
4,0.27804,-0.007375
4,0.28668,-0.00728
4,0.29553,-0.007154
4,0.30448,-0.00707
4,0.31342,-0.007002
4,0.3223,-0.006913
4,0.33113,-0.006824
4,0.3399,-0.006736
4,0.34862,-0.006651
4,0.35729,-0.006563
4,0.36591,-0.006478
4,0.37447,-0.006394
4,0.38298,-0.006306
4,0.39144,-0.006225
4,0.39985,-0.006143
4,0.40821,-0.00606
4,0.41651,-0.005981
4,0.42477,-0.005906
4,0.43297,-0.005828
4,0.44113,-0.005753
4,0.44923,-0.005682
4,0.45728,-0.005613
4,0.46529,-0.005544
