alpha,x_c,Cf_x_upper
4,0.09528,-0.012552
4,0.09967,-0.012267
4,0.10417,-0.012007
4,0.10878,-0.011771
4,0.11351,-0.011561
4,0.11836,-0.011379
4,0.12333,-0.011196
4,0.12842,-0.011024
4,0.13364,-0.010881
4,0.13898,-0.010754
4,0.14446,-0.01065
4,0.15007,-0.010556
4,0.15582,-0.010456
4,0.16171,-0.010357
4,0.16774,-0.010274
4,0.17391,-0.010211
4,0.18024,-0.010135
4,0.18672,-0.010046
4,0.19335,-0.009968
4,0.20015,-0.009903
4,0.2071,-0.009819
4,0.21423,-0.009724
4,0.22152,-0.009651
4,0.22899,-0.009559
4,0.23663,-0.009452
4,0.24446,-0.009361
4,0.25247,-0.009251
4,0.26067,-0.009142
4,0.26906,-0.009029
4,0.27765,-0.008901
4,0.28645,-0.008821
4,0.29545,-0.008582
4,0.30453,-0.008485
4,0.31356,-0.008455
4,0.32254,-0.008319
4,0.33146,-0.008182
4,0.34033,-0.008068
4,0.34914,-0.007939
4,0.3579,-0.007803
4,0.3666,-0.007678
4,0.37525,-0.00754
4,0.38385,-0.007399
4,0.39239,-0.007263
4,0.40088,-0.007113
4,0.40931,-0.006963
4,0.41769,-0.006839
4,0.42602,-0.006722
4,0.4343,-0.00661
4,0.44252,-0.00651
4,0.45069,-0.00642
4,0.45881,-0.006329
4,0.46688,-0.00624
4,0.47489,-0.006157
4,0.48286,-0.006079
4,0.49077,-0.006002
4,0.49864,-0.005924
4,0.50645,-0.005848
4,0.51422,-0.005775
4,0.52194,-0.005704
4,0.5296,-0.005636
4,0.53722,-0.005566
4,0.54479,-0.005495
4,0.55231,-0.005426
4,0.55979,-0.00536
4,0.56721,-0.005294
4,0.57459,-0.00523
4,0.58193,-0.005167
4,0.58921,-0.005102
4,0.59645,-0.005036
4,0.60364,-0.004971
4,0.61079,-0.004906
4,0.61789,-0.004842
4,0.62495,-0.004779
4,0.63196,-0.004716
4,0.63893,-0.004654
4,0.64585,-0.004594
4,0.65273,-0.004532
4,0.65956,-0.00447
4,0.66635,-0.00441
4,0.6731,-0.00435
4,0.67981,-0.004291
4,0.68647,-0.004232
4,0.69309,-0.004175
4,0.69967,-0.004118
4,0.7062,-0.004061
4,0.7127,-0.004005
4,0.71915,-0.003951
4,0.72556,-0.003895
4,0.73193,-0.003839
4,0.73826,-0.003784
4,0.74455,-0.00373
4,0.7508,-0.003676
4,0.75701,-0.003624
4,0.76318,-0.003571
4,0.76931,-0.00352
4,0.7754,-0.003469
4,0.78145,-0.003419
4,0.78747,-0.00337
4,0.79344,-0.003319
4,0.79938,-0.003271
4,0.80528,-0.003224
4,0.81114,-0.003178
4,0.81697,-0.003133
4,0.82276,-0.00309
4,0.82851,-0.003047
4,0.83422,-0.003004
4,0.8399,-0.002964
4,0.84554,-0.002925
4,0.85114,-0.002888
4,0.85671,-0.002854
4,0.86224,-0.002821
4,0.86774,-0.002789
4,0.87321,-0.002761
4,0.87863,-0.002737
4,0.88403,-0.002715
4,0.88939,-0.002694
4,0.89471,-0.002681
4,0.9,-0.00267
4,0.90526,-0.002663
4,0.91048,-0.002663
4,0.91567,-0.002668
4,0.92082,-0.002679
4,0.92595,-0.002697
4,0.93104,-0.002723
4,0.9361,-0.002759
4,0.94112,-0.002805
4,0.94611,-0.002865
4,0.95107,-0.00294
4,0.956,-0.003035
4,0.9609,-0.003152
4,0.96577,-0.003306
4,0.9706,-0.003488
4,0.9754,-0.003762
4,0.98018,-0.004046
4,0.98492,-0.004627
4,0.98963,-0.005096
4,0.99431,-0.007337
4,0.99832,-0.008038
8,0.0,-0.000409
8,0.00025,-0.003169
8,0.00073,-0.006312
8,0.00141,-0.009716
8,0.00228,-0.01296
8,0.00334,-0.015858
8,0.00455,-0.018216
8,0.00591,-0.020079
8,0.0074,-0.021536
8,0.00901,-0.022552
8,0.01074,-0.02315
8,0.01256,-0.023556
8,0.01448,-0.023744
8,0.0165,-0.023672
8,0.01861,-0.023461
8,0.0208,-0.023159
8,0.02308,-0.022756
8,0.02545,-0.022227
8,0.0279,-0.021626
8,0.03043,-0.021001
8,0.03305,-0.020361
8,0.03575,-0.019708
8,0.03853,-0.019053
8,0.04139,-0.018412
8,0.04435,-0.017768
8,0.04738,-0.017116
8,0.05051,-0.016469
8,0.05372,-0.015834
8,0.05702,-0.01522
8,0.06041,-0.014627
8,0.0639,-0.014077
8,0.06747,-0.01356
8,0.07114,-0.01309
8,0.07491,-0.012652
8,0.07878,-0.012275
8,0.08275,-0.011922
8,0.08682,-0.011592
8,0.09099,-0.011307
8,0.09528,-0.011066
8,0.09967,-0.010862
8,0.10417,-0.010695
8,0.10878,-0.010558
8,0.11351,-0.010449
8,0.11836,-0.010364
8,0.12333,-0.010273
8,0.12842,-0.010189
8,0.13364,-0.010121
8,0.13898,-0.010062
8,0.14446,-0.010013
8,0.15007,-0.009964
8,0.15582,-0.009901
8,0.16171,-0.009833
8,0.16774,-0.009772
8,0.17391,-0.009721
8,0.18024,-0.009652
8,0.18672,-0.009564
8,0.19335,-0.00948
8,0.20015,-0.009402
8,0.2071,-0.009302
8,0.21423,-0.009186
8,0.22152,-0.009088
8,0.22899,-0.008968
8,0.23663,-0.008833
8,0.24446,-0.008712
8,0.25247,-0.008572
8,0.26067,-0.008432
8,0.26906,-0.00829
8,0.27765,-0.008129
8,0.28645,-0.008018
8,0.29545,-0.007757
8,0.30453,-0.00762
8,0.31356,-0.007557
8,0.32254,-0.007394
8,0.33146,-0.00723
8,0.34033,-0.007086
8,0.34914,-0.006928
8,0.3579,-0.006763
8,0.3666,-0.006609
8,0.37525,-0.006443
8,0.38385,-0.006275
8,0.39239,-0.006111
8,0.40088,-0.005936
8,0.40931,-0.005763
8,0.41769,-0.005614
8,0.42602,-0.005474
8,0.4343,-0.005341
8,0.44252,-0.005218
8,0.45069,-0.005105
8,0.45881,-0.004991
8,0.46688,-0.004878
8,0.47489,-0.004771
8,0.48286,-0.004667
8,0.49077,-0.004565
8,0.49864,-0.004461
8,0.50645,-0.004358
8,0.51422,-0.00426
8,0.52194,-0.004162
8,0.5296,-0.004069
