alpha,x_c,Cf_x_upper
0,0.00014,-0.002107
0,0.00068,-0.002754
0,0.00142,-0.003713
0,0.00235,-0.004844
0,0.00344,-0.006025
0,0.00469,-0.007218
0,0.00607,-0.008358
0,0.00758,-0.009388
0,0.00921,-0.010348
0,0.01094,-0.011197
0,0.01278,-0.011911
0,0.01471,-0.01255
0,0.01674,-0.013121
0,0.01886,-0.0136
0,0.02107,-0.01396
0,0.02336,-0.014262
0,0.02575,-0.014527
0,0.02822,-0.014746
0,0.03078,-0.014922
0,0.03342,-0.015063
0,0.03615,-0.015165
0,0.03896,-0.015217
0,0.04187,-0.015236
0,0.04487,-0.015235
0,0.04795,-0.015208
0,0.05112,-0.015157
0,0.05439,-0.015085
0,0.05775,-0.014994
0,0.06121,-0.014887
0,0.06476,-0.014766
0,0.06841,-0.014638
0,0.07217,-0.014497
0,0.07602,-0.014336
0,0.07998,-0.014169
0,0.08405,-0.014004
0,0.08822,-0.013838
0,0.0925,-0.01367
0,0.0969,-0.013503
0,0.10141,-0.013338
0,0.10604,-0.013182
0,0.11079,-0.013026
0,0.11566,-0.012859
0,0.12066,-0.012696
0,0.12579,-0.012546
0,0.13104,-0.012405
0,0.13643,-0.012276
0,0.14196,-0.012158
0,0.14762,-0.012028
0,0.15343,-0.011895
0,0.15938,-0.01178
0,0.16548,-0.011686
0,0.17174,-0.011591
0,0.17814,-0.011482
0,0.18471,-0.011382
0,0.19144,-0.011313
0,0.19833,-0.011232
0,0.2054,-0.011132
0,0.21263,-0.011058
0,0.22005,-0.010984
0,0.22764,-0.010887
0,0.23542,-0.010813
0,0.24338,-0.010728
0,0.25154,-0.010624
0,0.25989,-0.010534
0,0.26844,-0.010438
0,0.2772,-0.010284
0,0.28617,-0.010416
0,0.29535,-0.009689
0,0.30429,-0.009745
0,0.31315,-0.010128
0,0.32226,-0.009833
0,0.33131,-0.009646
0,0.34031,-0.009528
0,0.34925,-0.009373
0,0.35813,-0.009225
0,0.36696,-0.00908
0,0.37573,-0.008912
0,0.38444,-0.008753
0,0.3931,-0.008579
0,0.4017,-0.008371
0,0.41024,-0.008184
0,0.41873,-0.008035
0,0.42716,-0.007901
0,0.43554,-0.007784
0,0.44386,-0.007688
0,0.45212,-0.007595
0,0.46033,-0.007503
0,0.46849,-0.007422
0,0.4766,-0.007349
0,0.48465,-0.007278
0,0.49264,-0.007202
0,0.50059,-0.007129
0,0.50848,-0.007061
0,0.51631,-0.006995
0,0.5241,-0.006931
0,0.53183,-0.006863
0,0.53952,-0.006793
0,0.54715,-0.006727
0,0.55473,-0.006662
0,0.56226,-0.006597
0,0.56974,-0.006535
0,0.57717,-0.006468
0,0.58455,-0.006399
0,0.59188,-0.006333
0,0.59916,-0.006267
0,0.60639,-0.006201
0,0.61357,-0.006136
0,0.62071,-0.006072
0,0.62779,-0.006009
0,0.63483,-0.005945
0,0.64183,-0.005879
0,0.64877,-0.005813
0,0.65567,-0.005749
0,0.66252,-0.005686
0,0.66933,-0.005623
0,0.67609,-0.005561
0,0.6828,-0.0055
0,0.68947,-0.005439
0,0.6961,-0.005379
0,0.70268,-0.00532
0,0.70921,-0.005259
0,0.71571,-0.005198
0,0.72215,-0.005138
0,0.72856,-0.005079
0,0.73492,-0.00502
0,0.74124,-0.004962
0,0.74751,-0.004905
0,0.75375,-0.004849
0,0.75994,-0.004793
0,0.76609,-0.004739
0,0.77219,-0.004684
0,0.77826,-0.004629
0,0.78429,-0.004574
0,0.79027,-0.004521
0,0.79621,-0.004469
0,0.80212,-0.004418
0,0.80798,-0.004369
0,0.81381,-0.004321
0,0.81959,-0.004274
0,0.82534,-0.004227
0,0.83104,-0.004182
0,0.83671,-0.00414
0,0.84234,-0.004099
0,0.84793,-0.004064
0,0.85348,-0.004029
0,0.859,-0.003994
0,0.86448,-0.003965
0,0.86992,-0.003939
0,0.87532,-0.003919
0,0.88069,-0.0039
0,0.88602,-0.003885
0,0.89131,-0.00388
0,0.89657,-0.003878
0,0.90179,-0.00388
